taxon,taxon_coded,filename,created_at,phylogeny,habit,root_system,height_min,height_low,height_high,height_max,height_unit,extrafloral_nectaries_presence,extrafloral_nectaries_location,extrafloral_nectary_length_min,extrafloral_nectary_length_low,extrafloral_nectary_length_high,extrafloral_nectary_length_max,extrafloral_nectary_length_unit,extrafloral_nectary_width_min,extrafloral_nectary_width_low,extrafloral_nectary_width_high,extrafloral_nectary_width_max,extrafloral_nectary_width_unit,extrafloral_nectary_shape,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_organization,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,inflorescence_peduncle_width_min,inflorescence_peduncle_width_low,inflorescence_peduncle_width_high,inflorescence_peduncle_width_max,inflorescence_peduncle_width_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit,corolla_shape,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,style_length_min,style_length_low,style_length_high,style_length_max,style_length_unit
Mimosa xanthocentra subsp. subsericea,Mimosa_xanthocentra_subsericea,Barneby_1991_Sensitivae_Censitae_treatment_0652.txt,"2025-07-10T00:06:22,692",2,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa xanthocentra subsp. subsericea var. longepetiolata,Mimosa_xanthocentra_subsericea_longepetiolata,Barneby_1991_Sensitivae_Censitae_treatment_0653.txt,"2025-07-10T00:07:27,618",0,shrub,,2,,4,,m,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa xanthocentra subsp. subsericea var. subsericea,Mimosa_xanthocentra_subsericea_subsericea,Barneby_1991_Sensitivae_Censitae_treatment_0654.txt,"2025-07-10T00:08:33,768",2,,,,,,,,absent,,,,,,,,,,,,,capitula,ellipsoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa xanthocentra subsp. subsericea var. exilis,Mimosa_xanthocentra_subsericea_exilis,Barneby_1991_Sensitivae_Censitae_treatment_0655.txt,"2025-07-10T00:09:38,080",0,,,,,,,,absent,,,,,,,,,,,,,capitulis,,,3.5,4.5,5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.5,5,mm,,,,,,
Mimosa xanthocentra subsp. subsericea var. miseranda,Mimosa_xanthocentra_subsericea_miseranda,Barneby_1991_Sensitivae_Censitae_treatment_0656.txt,"2025-07-10T00:10:42,593",0,little mimosa,,,,,,,absent,,,,,,,,,,,,,capitulis,,4,,8,,mm,2.5,2.5,3.5,3.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,mm,,,,,,
Mimosa xanthocentra subsp. tremula,Mimosa_xanthocentra_tremula,Barneby_1991_Sensitivae_Censitae_treatment_0657.txt,"2025-07-10T00:11:47,515",2,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,6,,mm,,,,,,,1.5,,6,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa xanthocentra subsp. tremula var. tremula,Mimosa_xanthocentra_tremula_tremula,Barneby_1991_Sensitivae_Censitae_treatment_0658.txt,"2025-07-10T00:12:49,472",2,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa xanthocentra subsp. tremula var. tenuis,Mimosa_xanthocentra_tremula_tenuis,Barneby_1991_Sensitivae_Censitae_treatment_0659.txt,"2025-07-10T00:13:52,823",0,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa centurionis,Mimosa_centurionis,Barneby_1991_Sensitivae_Censitae_treatment_0660.txt,"2025-07-10T00:14:57,068",0,perennial herb,taproot or xylopodium,,3.5,9,,dm,absent,,,,,,,,,,,,,capitula,ellipsoid,10,10,15,15,mm,5.5,5.5,8,8,mm,,6,6,8,8,cm,,,,,,4-merous,,6,8,,cm,,,,,,spathiform,,0.8,0.8,,mm,,,,,,subcylindric,2.7,2.7,2.9,2.9,mm,0.6,0.8,0.8,mm,0.5,0.5,0.5,0.5,mm,4,8,8,9.5,9.5,mm,pink,,,,,
Mimosa morongii,Mimosa_morongii,Barneby_1991_Sensitivae_Censitae_treatment_0661.txt,"2025-07-10T00:16:04,165",0,herbs,fusiform taproot,,,,,,absent,,,,,,,,,,,,,capitula,ellipsoid,7,7,12,12,mm,4.5,4.5,5.5,5.5,mm,,1.5,,3.5,,cm,,,,,,4-merous,,1.5,3.5,,cm,,,,,,spathiform,0.7,,0.9,,mm,,,,,,narrowly funnelform,,2,2.4,,mm,0.65,0.8,,mm,,0.5,0.7,,mm,4,,7,8,,mm,lilac-pink,,,,,
Mimosa bipennatula,Mimosa_bipennatula,Barneby_1991_Sensitivae_Censitae_treatment_0662.txt,"2025-07-10T00:17:09,065",0,shrublet,,,,1,,m,absent,,,,,,,,,,,,,capitula,ovoid,,3,3,,mm,,,,,,,,4,5,,mm,,,,,,4-merous,,4,5,,mm,,,,,,,,0.6,0.7,,mm,,,,,,turbinate 4-angulate,,1.6,1.6,,mm,0.6,0.6,,mm,,0.4,0.4,,mm,4,,,6,,mm,pink,,,,,
Mimosa jacobita,Mimosa_jacobita,Barneby_1991_Sensitivae_Censitae_treatment_0663.txt,"2025-07-10T00:18:13,067",1,shrublet,,,,,,,absent,,,,,,,,,,,,,capitula,obovoid-ellipsoid,6,6,7,,mm,3.5,3.5,4,,mm,,5,5,8,8,mm,,,,,,4-merous,,,,,,,,,,,paleaceous-pappiform,1.3,1.3,1.9,1.9,mm,,,,,,narrowly turbinate 4-angulate,,1.6,2.3,,mm,0.5,0.8,,mm,,0.3,0.4,,mm,4,4.5,4.5,7.5,7.5,mm,pink,,,,,
Mimosa affinis,Mimosa_affinis,Barneby_1991_Sensitivae_Censitae_treatment_0664.txt,"2025-07-10T00:19:17,378",1,herbs,,,,,,,absent,,,,,,,,,,,,,capitula,,,3,,,mm,,3,3,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,mm,,,,,,,,,,,,3,3,,mm,,,,,,
Mimosa disperma,Mimosa_disperma,Barneby_1991_Sensitivae_Censitae_treatment_0665.txt,"2025-07-10T00:20:24,904",0,herb,,,,,,dm,absent,,,,,,,,,,,,subulate,capitula,ovoid,,,,,,,3,,,mm,,,7,14,,mm,,,,,,4-merous,,,,,,,,,,,shallowly campanulate,,0.3,0.3,,mm,,,,,,"narrowly vase-shaped, bluntly 4-angulate",1.5,1.5,1.8,1.8,mm,0.8,0.8,,mm,,0.4,0.4,,mm,4,,2,2.5,,mm,pink,,,,,
Mimosa tequilana,Mimosa_tequilana,Barneby_1991_Sensitivae_Censitae_treatment_0666.txt,"2025-07-10T00:21:31,466",1,herbs,,2,,9,,dm,absent,,,,,,,,,,,,,capitula,,,2.5,4,,mm,2.5,,4,,mm,,,,,,,,,,,,4-merous,,,,,,,,,,,,,0.1,0.1,,mm,,,,,,,,1.6,2.4,,mm,,,,,,,,,,4 or 7-10,2.5,2.3,3.5,3.5,mm,,,,,,
Mimosa niomarlei,Mimosa_niomarlei,Barneby_1991_Sensitivae_Censitae_treatment_0667.txt,"2025-07-10T00:22:39,051",0,Diffuse or subscandent Herbs,,,,,,,absent,,,,,,,,,,,,,capitula,,,,,,,,,,,,,1,1,2,2,cm,,,,,,4-merous,,,,,,,,,,,subtruncate,,0.2,0.2,,mm,,,,,,trumpet-shaped,1.6,,2,,mm,0.5,0.6,,mm,,,,,,4,,2,2,,mm,pink,,,,,
Mimosa simplicissima,Mimosa_simplicissima,Barneby_1991_Sensitivae_Censitae_treatment_0668.txt,"2025-07-10T00:23:45,306",0,herb,,,9,,,dm,absent,,,,,,,,,,,,,capitula,globose,,5.5,5.5,,mm,5.5,5.5,5.5,5.5,mm,,,,,,mm,,,,,,4-merous,,,,,mm,,,,,,,,,,,,,,,,,narrowly vase-shaped,,2.7,2.7,,mm,,,,,,0.4,0.4,,mm,4,,4,,,mm,lilac-pink,,,,,
Mimosa hypoglauca,Mimosa_hypoglauca,Barneby_1991_Sensitivae_Censitae_treatment_0669.txt,"2025-07-10T00:24:52,998",1,subshrubs,xylopodium,1,1.5,20,,dm,absent,,,,,,,,,,,,,capitula,globose,,5,10.5,,mm,,5,10.5,,mm,,2,,5,6,cm,,,,,,4-merous,,,,,,,,,,,,1.3,1.6,2.8,3,mm,,0.5,0.8,,mm,,,2.5,4.2,4.5,mm,1.1,1.3,,mm,,0.6,0.8,,mm,4,,5,8,,mm,pink,,,,,
Mimosa hypoglauca var. hypoglauca,Mimosa_hypoglauca_hypoglauca,Barneby_1991_Sensitivae_Censitae_treatment_0670.txt,"2025-07-10T00:25:59,044",2,,,,,,,,absent,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa hypoglauca var. allostegia,Mimosa_hypoglauca_allostegia,Barneby_1991_Sensitivae_Censitae_treatment_0671.txt,"2025-07-10T00:27:03,514",0,,,,,,,,absent,,,,,,,,,,,,,capitulorum,moriformium,,5,7.8,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.8,,mm,,,,,,
Mimosa hypoglauca var. dawsonii,Mimosa_hypoglauca_dawsonii,Barneby_1991_Sensitivae_Censitae_treatment_0672.txt,"2025-07-10T00:28:08,588",0,,,,30,,35,cm,absent,,,,,,,,,,,,,capitula,moriform,,8,9,,mm,,8,9,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa hypoglauca var. syncollandra,Mimosa_hypoglauca_syncollandra,Barneby_1991_Sensitivae_Censitae_treatment_0673.txt,"2025-07-10T00:29:11,458",0,,,,,,,,absent,,,,,,,,,,,,,capitula,,,,,,,,6,6,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa calocephala,Mimosa_calocephala,Barneby_1991_Sensitivae_Censitae_treatment_0674.txt,"2025-07-10T00:30:14,436",0,subshrubs,,,3,5,,dm,absent,,,,,,,,,,,,,capitula,subglobose,10,11,20,,mm,10,11,20,,mm,,2,,5.5,,cm,,,,,,4-merous,,,,,,,,,,,narrowly vaseshaped,3,,7,,mm,0.8,,3.5,,mm,subcylindric,3.8,3.8,8,8,mm,1,1.3,,mm,,0.4,0.55,,mm,4,,,8,,mm,pink,,,,,
Mimosa calocephala var. calocephala,Mimosa_calocephala_calocephala,Barneby_1991_Sensitivae_Censitae_treatment_0675.txt,"2025-07-10T00:31:17,517",0,,,100,,1300,,m,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa calocephala var. pohlii,Mimosa_calocephala_pohlii,Barneby_1991_Sensitivae_Censitae_treatment_0676.txt,"2025-07-10T00:32:20,528",0,,,,,,,,absent,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa polycephala,Mimosa_polycephala,Barneby_1991_Sensitivae_Censitae_treatment_0677.txt,"2025-07-10T00:33:26,954",1,subshrubs,,,1,2,,m,absent,,,,,,,,,,,,,capitula,globose,5.5,6,9,,mm,5.5,6,9,,mm,efoliate panicle of pseudoraceme,4,6,25,,mm,,,,,,4-merous,,,,,,,,,,,,,1.5,2.3,,mm,,1,1.7,,mm,narrowly funnelform,2,2.4,3.6,,mm,0.8,1.1,,mm,,0.5,0.6,,mm,4,3.5,4,7.5,,mm,pink,,,,,
Mimosa polycephala var. taxifolia,Mimosa_polycephala_taxifolia,Barneby_1991_Sensitivae_Censitae_treatment_0678.txt,"2025-07-10T00:34:29,829",0,,,350,,700,,m,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa polycephala var. polycephala,Mimosa_polycephala_polycephala,Barneby_1991_Sensitivae_Censitae_treatment_0679.txt,"2025-07-10T00:35:31,271",2,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa papposa,Mimosa_papposa,Barneby_1991_Sensitivae_Censitae_treatment_0680.txt,"2025-07-10T00:36:36,095",1,subshrubs,,,7,10,,dm,absent,,,,,,,,,,,,,capitula,globose,,7.5,9,,mm,7.5,7.5,9,9,mm,pseudoraceme,2,4,35,,mm,,,,,,,,,,,,,,,,,,,1.6,2.4,,mm,,,,,,,2.8,2.8,3.6,3.6,mm,1.1,1.5,1.5,mm,0.5,0.5,0.6,0.6,mm,,,5.5,6.5,,mm,pink,,,,,
Mimosa papposa var. papposa,Mimosa_papposa_papposa,Barneby_1991_Sensitivae_Censitae_treatment_0681.txt,"2025-07-10T00:37:39,376",2,,,,800,1050,,m,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa papposa var. segrex,Mimosa_papposa_segrex,Barneby_1991_Sensitivae_Censitae_treatment_0682.txt,"2025-07-10T00:38:40,716",0,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13,,mm,,,,,,,,4,13,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa venatorum,Mimosa_venatorum,Barneby_1991_Sensitivae_Censitae_treatment_0683.txt,"2025-07-10T00:39:45,126",1,subshrubs,,3,4,10,,dm,absent,,,,,,,,,,,,,capitula,globose,,9,,,mm,,9,9,,mm,pseudoracemose or weakly branched,7,10,35,,mm,,,,,,4-merous,,,,,,,,,,,,,,,,,,,,,,narrowly funnelform,2.7,3,4,4,mm,0.9,1.3,,mm,,0.5,0.8,,mm,4,,7,9.5,,mm,pink fading whitish,,,,,
Mimosa pyrenea,Mimosa_pyrenea,Barneby_1991_Sensitivae_Censitae_treatment_0684.txt,"2025-07-10T00:40:49,536",1,subshrubs,knotty xylopodium,,7,12,,dm,absent,,,,,,,,,,,,,capitula,globose,,7.5,9,,mm,,7.5,9,,mm,pseudoracemes,,10,28,,mm,,,,,,4-merous,,,,,,,,,,,,,2.2,3,,mm,,,,,,narrowly funnelform,,3.1,3.7,,mm,1,1.4,,mm,,0.6,0.8,,mm,4,,5,7,,mm,,,,,,
Mimosa callithrix,Mimosa_callithrix,Barneby_1991_Sensitivae_Censitae_treatment_0685.txt,"2025-07-10T00:41:56,208",1,shrubs,,,1.5,2,,m,absent,,,,,,,,,,,,,capitula,globose,,8.5,9.5,,mm,,8.5,9.5,,mm,pseudoraceme,,2,4.5,,cm,,,,,,4-merous,,,,,,,,,,,narrowly campanulate,3,3,4.5,4.5,mm,,,,,,subcylindric,4.5,4.5,6,6,mm,1,1.5,1.5,mm,0.6,0.6,0.7,0.7,mm,4,,6.5,6.5,,mm,pink,,,,,
Mimosa thermarum,Mimosa_thermarum,Barneby_1991_Sensitivae_Censitae_treatment_0686.txt,"2025-07-10T00:42:59,999",0,subshrubs,,,15,20,,dm,absent,,,,,,,,,,,,,capitula,globose,1.5,1.5,2,2,dm,7,7,7,7,mm,pseudoraceme,,15,20,,mm,,,,,,4-merous,,15,20,,mm,,,,,,paleaceous,,2,2,,mm,,,,,,narrowly funnelform or subcylindric,,2.5,2.9,,mm,1,,,mm,,0.55,,,mm,4,,3,3,,mm,pink,,,,,
Mimosa lanuginosa,Mimosa_lanuginosa,Barneby_1991_Sensitivae_Censitae_treatment_0687.txt,"2025-07-10T00:44:05,423",1,subshrubs,xylopodium,6,8,16,,dm,absent,,,,,,,,,,,,,capitula,globose,,9,13,,mm,9,,13,,mm,pseudoraceme or narrow panicle ,0.5,1,4,,cm,,,,,,4-merous,,,,,,,,,,,4-angulate,2.5,2.5,4.8,4.8,mm,1,1,1.8,1.8,mm,narrowly tubular-funnelform,3.8,4,6,,mm,0.8,1.4,1.4,mm,0.6,0.6,0.6,0.6,mm,4,,6,7.5,,mm,pink,,,,,
Mimosa lanuginosa var. lanuginosa,Mimosa_lanuginosa_lanuginosa,Barneby_1991_Sensitivae_Censitae_treatment_0688.txt,"2025-07-10T00:45:07,967",2,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa lanuginosa var. raduliformis,Mimosa_lanuginosa_raduliformis,Barneby_1991_Sensitivae_Censitae_treatment_0689.txt,10/7/2025 0:46,0,,,,,,,,,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,1,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa radula,Mimosa_radula,Barneby_1991_Sensitivae_Censitae_treatment_0690.txt,10/7/2025 0:47,1,subshrubs,xylopodium,7,10,16,20,dm,,,,,,,,,,,,,,capitula,,7,8,12,14,mm,,,,,,pseudoracemose,0.5,1,4,,cm,,,,,,4-merous,,,,,,,,,,,"paleaceous, obtusely tetragonal",1.8,2.5,4.2,4.8,mm,,0.7,1.8,,mm,narrowly vase-shaped or when long subtubular,,3,5.2,6,mm,0.7,1.3,,mm,,0.4,0.4,,mm,4,,5.5,8.5,,mm,pink or purplish,,,,,
Mimosa radula var. radula,Mimosa_radula_radula,Barneby_1991_Sensitivae_Censitae_treatment_0691.txt,10/7/2025 0:48,0,,xylopodium,,1,1.5,,m,,,,,,,,,,,,,,capitula,conelike,,11,14,,mm,,,,,,,,,1.5,,cm,,,,,,,,,,,,,,,,,,,2.8,3.3,,mm,,,,,,,,3.7,4.1,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa radula var. calycina,Mimosa_radula_calycina,Barneby_1991_Sensitivae_Censitae_treatment_0692.txt,10/7/2025 0:49,0,,,,,,,,,,,,,,,,,,,,,capitula,,,9,14,,mm,,,,,,,0.5,1,4,,cm,,,,,,,,,,,,,,,,,,2.2,2.5,4,,mm,,,,,,,,3,5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa radula var. semitonsa,Mimosa_radula_semitonsa,Barneby_1991_Sensitivae_Censitae_treatment_0693.txt,10/7/2025 0:50,0,subshrub,,,,,,,,,,,,,,,,,,,,capitula,,7,8,9,,mm,,,,,,paniculate,0.5,1.5,3.5,,cm,,,,,,,,,,,,,,,,,,1.7,2,2.7,,mm,,,,,,,,3,4.1,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa radula var. radulina,Mimosa_radula_radulina,Barneby_1991_Sensitivae_Censitae_treatment_0694.txt,10/7/2025 0:51,0,,,,1.5,2,,m,,,,,,,,,,,,,,capitula,submoriform,,8,10,,mm,,8,10,,mm,,,12,35,,mm,,,,,,,,,,,,,,,,,,,1.8,3,,mm,,,,,,,,3,4.4,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa radula var. imbricata,Mimosa_radula_imbricata,Barneby_1991_Sensitivae_Censitae_treatment_0695.txt,10/7/2025 0:52,2,,,7,10,15,,dm,,,,,,,,,,,,,,capitula,conelike,,7,8,12,mm,,,,,,,1.5,2,4,,cm,,,,,,,,,,,,,,,,,,,2.7,4.2,4.8,mm,,,,,,,3.5,3.7,5.2,6,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa virgula,Mimosa_virgula,Barneby_1991_Sensitivae_Censitae_treatment_0696.txt,10/7/2025 0:53,1,subshrubs,knotty xylopodium,,8,11,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,7.5,9,,mm,solitary but sometimes appearing pseudoverticillate,,2,3,,cm,,,,,,4-merous,,,,,,,,,,,,,2.5,3,,mm,,0.8,1.3,,mm,narrowly funnelform,3,3.2,4,,mm,1,1.3,,mm,,0.6,0.7,,mm,4,,4,7,,mm,pink or magenta,,,,,
Mimosa pseudoradula,Mimosa_pseudoradula,Barneby_1991_Sensitivae_Censitae_treatment_0697.txt,10/7/2025 0:54,1,subshrubs,carrotlike or amorphous xylopodium,0.7,1,2.5,3,m,,,,,,,,,,,,,,capitula,globose,7.5,8,11,,mm,7.5,8,11,,mm,panicle,,1,4.5,,cm,,,,,,4-merous,,,,,,,,,,,paleaceous,,1.8,3,,mm,,,,,,narrowly funnelform,,3.2,4.8,,mm,1.1,2,,mm,,0.45,0.6,,mm,4,,6,9,,mm,pink,,,,,
Mimosa pseudoradula var. detonsa,Mimosa_pseudoradula_detonsa,Barneby_1991_Sensitivae_Censitae_treatment_0698.txt,10/7/2025 0:55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa pseudoradula var anapolitana,Mimosa_pseudoradula_var_anapolitana,Barneby_1991_Sensitivae_Censitae_treatment_0699.txt,10/7/2025 0:57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa pseudoradula var. crystallites,Mimosa_pseudoradula_crystallites,Barneby_1991_Sensitivae_Censitae_treatment_0700.txt,10/7/2025 0:58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa pseudoradula var. pseudoradula,Mimosa_pseudoradula_pseudoradula,Barneby_1991_Sensitivae_Censitae_treatment_0701.txt,10/7/2025 0:59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa flavocaesia,Mimosa_flavocaesia,Barneby_1991_Sensitivae_Censitae_treatment_0702.txt,10/7/2025 1:00,1,subshrubs,xylopodium,,3,7,,dm,,,,,,,,,,,,,,capitula,globose,,10,11,,mm,,10,11,,mm,pseudoracemose,2,2.5,6,,cm,,,,,,4-merous,,,,,,,,,,,paleaceous,,2.5,3.8,,mm,,,,,,narrowly funnelform,,3.8,4.8,,mm,1.2,1.5,,mm,,0.65,1,,mm,4,,6,8,,mm,pink,,,,,
Mimosa cyclophylla,Mimosa_cyclophylla,Barneby_1991_Sensitivae_Censitae_treatment_0703.txt,10/7/2025 1:01,1,subshrubs,xylopodium,,1,2.5,3.5,m,,,,,,,,,,,,,,capitula,globose,,9,11,13,mm,,,,,,moriform,,2,10,,cm,,,,,,4-merous,,,,,,,,,,,paleaceous,,2,3.5,,mm,,,,,,"narrowly funnelform, subcylindric",,3,5,,mm,1.1,1.8,,mm,,0.7,1,,mm,4,,6,7,,mm,,,,,,
Mimosa petiolaris,Mimosa_petiolaris,Barneby_1991_Sensitivae_Censitae_treatment_0704.txt,10/7/2025 1:02,0,subshrubs,turbinate xylopodium,,4,11,,dm,,,,,,,,,,,,,,capitula,globose,,7,9,,mm,,7,9,,mm,remotely few-capitulate,1.5,2,6,,cm,,,,,,4-merous,,,,,,,,,,,paleaceous,,1.5,2.1,,mm,,,,,,funnelform,,2.4,4,,mm,0.8,1,,mm,,0.6,,,mm,4,,4.5,6,,mm,pink,,,,,
Mimosa uniceps,Mimosa_uniceps,Barneby_1991_Sensitivae_Censitae_treatment_0705.txt,10/7/2025 1:03,0,subshrubs,subterranean caudex,,1,1.5,,dm,,,,,,,,,,,,,,capitula,subglobose,,,,,,,,8,,mm,,,25,25,,mm,,,,,,4-merous,,,,,,,,,,,paleaceous ,,2.3,,,mm,,,,,,narrowly funnelform,,2.8,3,,mm,,,,,,,,,,4,,,,,,,,,,,
Mimosa longipes,Mimosa_longipes,Barneby_1991_Sensitivae_Censitae_treatment_0706.txt,10/7/2025 1:04,1,herbaceous subshrub,slender oblique (perhaps creeping) rootstock,,,,,,,,,,,,,,,,,,,capitula,moriform,,,,,,,9,10,,mm,,,15,35,,cm,,,,,,4- or 5-merous haplostemonous,,,,,,,,,,,paleaceous,,2,2,,mm,,,,,,narrowly funnelform,,4.5,4.5,,mm,1.1,1.1,,mm,,0.8,0.8,,mm,,,8,8,,mm,pink,,,,,
Mimosa pumilio,Mimosa_pumilio,Barneby_1991_Sensitivae_Censitae_treatment_0707.txt,10/7/2025 1:05,0,herb,knotty xylopodium,,,,,,,,,,,,,,,,,,,capitula,globose,,5,7,,mm,,5,7,,mm,moriform,,4.5,11,,cm,,,,,,4-6-merous,,,,,,,,,,,membrano-paleaceous,,1.6,2,,mm,,,,,,violet turbinate,,3,3.5,,mm,1.2,1.5,,mm,,0.9,1,,mm,,,6,8,,mm,pink,,,,,
Mimosa setifera,Mimosa_setifera,Barneby_1991_Sensitivae_Censitae_treatment_0708.txt,10/7/2025 1:06,0,subshrub,,,5,5,,dm,,,,,,,,,,,,,,capitula,ovoid pseudoracemose,,,,,,,5,5,,mm,pseudoracemose moriform,,7,12,,mm,,,,,,4-merous,,,,,,,,,,,paleaceous,,1.5,1.7,,mm,,,,,,narrowly funnelform,,2.3,2.8,,mm,0.7,0.7,,mm,,0.5,0.5,,mm,4,,4,4,,mm,pink,,,,,
Mimosa dicerastes,Mimosa_dicerastes,Barneby_1991_Sensitivae_Censitae_treatment_0709.txt,10/7/2025 1:07,1,arborescent shrubs,,,2,4,,m,,,,,,,,,,,,,,capitula,subglobose,,,,,,,6.5,7,,mm,"pseudoraceme, moriform",,15,25,,mm,,,,,,4-merous,,,,,,,,,,,paleaceous,,1.5,2.3,,mm,,,,,,"accrescent upward through capitulum, tube narrowly funnelform",,2.6,3.4,,mm,0.75,0.9,,mm,,0.5,0.6,,mm,4,,5,6,,mm,pink,,,,,
